filename log/doomrnn.cma.16.64.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.64.best.json
iteration 0 reward 445.0
iteration 1 reward 822.0
iteration 2 reward 211.0
iteration 3 reward 660.0
iteration 4 reward 545.0
iteration 5 reward 549.0
iteration 6 reward 1133.0
iteration 7 reward 343.0
iteration 8 reward 336.0
iteration 9 reward 665.0
iteration 10 reward 1112.0
iteration 11 reward 1838.0
iteration 12 reward 784.0
iteration 13 reward 661.0
iteration 14 reward 1457.0
iteration 15 reward 219.0
iteration 16 reward 2100.0
iteration 17 reward 700.0
iteration 18 reward 665.0
iteration 19 reward 332.0
iteration 20 reward 435.0
iteration 21 reward 336.0
iteration 22 reward 1505.0
iteration 23 reward 1011.0
iteration 24 reward 777.0
iteration 25 reward 660.0
iteration 26 reward 213.0
iteration 27 reward 910.0
iteration 28 reward 320.0
iteration 29 reward 657.0
iteration 30 reward 558.0
iteration 31 reward 207.0
iteration 32 reward 788.0
iteration 33 reward 326.0
iteration 34 reward 673.0
iteration 35 reward 654.0
iteration 36 reward 551.0
iteration 37 reward 554.0
iteration 38 reward 1332.0
iteration 39 reward 418.0
iteration 40 reward 555.0
iteration 41 reward 1920.0
iteration 42 reward 580.0
iteration 43 reward 323.0
iteration 44 reward 656.0
iteration 45 reward 893.0
iteration 46 reward 896.0
iteration 47 reward 904.0
iteration 48 reward 2100.0
iteration 49 reward 434.0
iteration 50 reward 436.0
iteration 51 reward 1685.0
iteration 52 reward 1097.0
iteration 53 reward 673.0
iteration 54 reward 1321.0
iteration 55 reward 830.0
iteration 56 reward 1779.0
iteration 57 reward 429.0
iteration 58 reward 1011.0
iteration 59 reward 328.0
iteration 60 reward 209.0
iteration 61 reward 903.0
iteration 62 reward 874.0
iteration 63 reward 684.0
iteration 64 reward 661.0
iteration 65 reward 779.0
iteration 66 reward 434.0
iteration 67 reward 577.0
iteration 68 reward 648.0
iteration 69 reward 1073.0
iteration 70 reward 1115.0
iteration 71 reward 312.0
iteration 72 reward 885.0
iteration 73 reward 783.0
iteration 74 reward 665.0
iteration 75 reward 668.0
iteration 76 reward 662.0
iteration 77 reward 336.0
iteration 78 reward 428.0
iteration 79 reward 1119.0
iteration 80 reward 427.0
iteration 81 reward 916.0
iteration 82 reward 689.0
iteration 83 reward 433.0
iteration 84 reward 549.0
iteration 85 reward 1225.0
iteration 86 reward 1113.0
iteration 87 reward 672.0
iteration 88 reward 231.0
iteration 89 reward 431.0
iteration 90 reward 1092.0
iteration 91 reward 330.0
iteration 92 reward 330.0
iteration 93 reward 561.0
iteration 94 reward 450.0
iteration 95 reward 1560.0
iteration 96 reward 769.0
iteration 97 reward 1005.0
iteration 98 reward 1915.0
iteration 99 reward 325.0
seed 5906 average_reward 761.5 stdev 438.5957250133658
