filename log/doomrnn.cma.16.64.best.json
model size 1088
making real doom environment
model using cpu
input dropout mode = False
output dropout mode = False
recurrent dropout mode = False
loading file log/doomrnn.cma.16.64.best.json
iteration 0 reward 330.0
iteration 1 reward 220.0
iteration 2 reward 650.0
iteration 3 reward 1578.0
iteration 4 reward 1650.0
iteration 5 reward 998.0
iteration 6 reward 774.0
iteration 7 reward 1215.0
iteration 8 reward 2100.0
iteration 9 reward 560.0
iteration 10 reward 447.0
iteration 11 reward 1959.0
iteration 12 reward 583.0
iteration 13 reward 764.0
iteration 14 reward 1616.0
iteration 15 reward 435.0
iteration 16 reward 550.0
iteration 17 reward 97.0
iteration 18 reward 1699.0
iteration 19 reward 663.0
iteration 20 reward 1452.0
iteration 21 reward 655.0
iteration 22 reward 576.0
iteration 23 reward 1695.0
iteration 24 reward 774.0
iteration 25 reward 884.0
iteration 26 reward 106.0
iteration 27 reward 547.0
iteration 28 reward 1872.0
iteration 29 reward 1000.0
iteration 30 reward 439.0
iteration 31 reward 415.0
iteration 32 reward 450.0
iteration 33 reward 327.0
iteration 34 reward 1224.0
iteration 35 reward 1446.0
iteration 36 reward 1368.0
iteration 37 reward 210.0
iteration 38 reward 1480.0
iteration 39 reward 553.0
iteration 40 reward 2100.0
iteration 41 reward 2100.0
iteration 42 reward 1131.0
iteration 43 reward 548.0
iteration 44 reward 771.0
iteration 45 reward 552.0
iteration 46 reward 219.0
iteration 47 reward 544.0
iteration 48 reward 576.0
iteration 49 reward 580.0
iteration 50 reward 327.0
iteration 51 reward 194.0
iteration 52 reward 340.0
iteration 53 reward 210.0
iteration 54 reward 215.0
iteration 55 reward 1484.0
iteration 56 reward 433.0
iteration 57 reward 903.0
iteration 58 reward 105.0
iteration 59 reward 99.0
iteration 60 reward 1437.0
iteration 61 reward 678.0
iteration 62 reward 2003.0
iteration 63 reward 325.0
iteration 64 reward 470.0
iteration 65 reward 199.0
iteration 66 reward 571.0
iteration 67 reward 435.0
iteration 68 reward 880.0
iteration 69 reward 1119.0
iteration 70 reward 339.0
iteration 71 reward 1005.0
iteration 72 reward 989.0
iteration 73 reward 1445.0
iteration 74 reward 893.0
iteration 75 reward 211.0
iteration 76 reward 1585.0
iteration 77 reward 917.0
iteration 78 reward 2100.0
iteration 79 reward 1198.0
iteration 80 reward 1120.0
iteration 81 reward 541.0
iteration 82 reward 890.0
iteration 83 reward 669.0
iteration 84 reward 1213.0
iteration 85 reward 806.0
iteration 86 reward 1347.0
iteration 87 reward 110.0
iteration 88 reward 438.0
iteration 89 reward 1249.0
iteration 90 reward 207.0
iteration 91 reward 1253.0
iteration 92 reward 1007.0
iteration 93 reward 212.0
iteration 94 reward 210.0
iteration 95 reward 215.0
iteration 96 reward 556.0
iteration 97 reward 683.0
iteration 98 reward 1000.0
iteration 99 reward 317.0
seed 1211 average_reward 826.34 stdev 547.7551865569143
